Country,Level,Answer,Longest
Myanmar,1170,"ICE, SEE, SIN, SIR, NICE, REIN, RICE, RISE, SEEN, SEER, SIRE, CRIES, NIECE, REINS, RESIN, RINSE, RISEN, SCENE, SINCE, SIREN, SNEER, SCREEN, SINCERE",SINCERE
Myanmar,1171,"EVE, NET, PEN, PER, PET, TEE, TEN, EVEN, EVER, PEER, RENT, TEEN, TREE, VEER, VENT, ENTER, EVENT, NERVE, NEVER, PETER, REPENT, PREVENT",PREVENT
Myanmar,1172,"ERR, MET, RIM, TIE, EMIT, ITEM, MIME, MIRE, MITE, RIME, RITE, TERM, TIER, TIME, TIRE, TRIM, MERIT, REMIT, TIMER, TRIER, TRIMMER",TRIMMER
Myanmar,1173,"ELM, ICE, LIE, RIB, RIM, BILE, BRIM, CRIB, LICE, LIMB, LIME, MICE, MILE, MIRE, RICE, RILE, RIME, CLIMB, CRIME, RELIC, LIMBER, CLIMBER",CLIMBER
Myanmar,1174,"RED, SEE, SET, TEE, DEER, REED, REST, SEED, SEER, TREE, DETER, DRESS, ESTER, RESET, SEEDS, STEED, STEER, TERSE, TRESS, DESERT, RESTED, DESSERT",DESSERT
Myanmar,1175,"ERR, ORE, ROT, SEE, SET, TEE, TOE, REST, ROSE, ROTE, SEER, SORE, SORT, TORE, TREE, RESET, STEER, STORE, TERSE, RESORT, ROSTER, STEREO, RESTORE",RESTORE
Myanmar,1176,"BEE, EVE, ORE, ROB, SEE, SOB, BEER, BORE, EVER, OVER, ROBE, ROSE, SEER, SORE, VEER, VERB, OBESE, SERVE, SEVER, SOBER, VERSE, OBSERVE, OBVERSE",OBSERVE
Myanmar,1177,"FEE, PER, PET, TEE, FEET, FETE, FREE, FRET, PEER, PERT, REEF, TREE, CREEP, CREPE, CREPT, ERECT, PETER, PERFECT, PREFECT",PERFECT
Myanmar,1178,"HIS, HIT, HOT, ITS, ROT, SHY, SIR, SIT, SOY, TOY, TRY, HOST, RIOT, ROSY, SHOT, SORT, STIR, THIS, HOIST, SHIRT, SHORT, STORY, HISTORY",HISTORY
Myanmar,1179,"EWE, MOP, ORE, OWE, PER, PEW, PRO, ROW, WEE, WOE, MERE, MORE, PEER, POEM, PORE, ROMP, ROPE, WEEP, WERE, WORE, WORM, MOWER, POWER, EMPOWER",EMPOWER
Myanmar,1180,"EVE, NIP, PEN, PIE, PIN, SEE, SIN, SIP, VIE, EVEN, PENS, PINE, SEEN, SEEP, SNIP, SPIN, VEIN, VINE, SEVEN, SIEVE, SNIPE, SPINE, PENSIVE",PENSIVE
Myanmar,1181,"APE, AXE, NAP, PAN, PEA, PEN, SEA, SEE, SPA, APEX, AXES, EASE, NAPE, PANE, PEAS, PENS, SANE, SEEN, SEEP, SNAP, SPAN, EXPANSE",EXPANSE
Myanmar,1182,"ACE, ACT, ATE, CAT, EAT, HAT, TEA, TEE, ACHE, CHAT, EACH, ETCH, HATE, HEAT, THEE, CHEAT, HATCH, HEATH, TEACH, CHEETAH",CHEETAH
Myanmar,1183,"IMP, PER, PIE, RIM, RIP, SIP, SIR, MESS, MIRE, MISS, PIER, PRIM, RIPE, RISE, SIRE, MISER, PRESS, PRIME, PRISE, PRISM, SPIES, SPIRE, IMPRESS",IMPRESS
Myanmar,1184,"APE, AWE, DEW, PAD, PAW, PEA, PEW, SAD, SAW, SEA, SEW, SPA, WAD, WAS, WED, AWED, PEAS, SPED, SWAP, WADE, WASP, SPADE, SAPPED, SWAPPED",SWAPPED
Myanmar,1185,"ELK, ICE, ILK, LIE, CLEF, FILE, FIRE, LICE, LICK, LIFE, LIKE, RICE, RICK, RIFE, RILE, CLERK, FLECK, FLICK, FLIER, RELIC, RIFLE, FICKLE, FLICKER",FLICKER
Myanmar,1186,"COP, CUE, CUP, ERR, ORE, OUR, PER, PRO, RUE, COPE, CORE, COUP, CROP, CURE, PORE, POUR, PURE, PURR, ROPE, COUPE, RECUR, ROPER, RECOUP, PROCURE",PROCURE
Myanmar,1187,"CUE, CUR, CUT, LET, RUE, RUT, CLUE, CULT, CURE, CURL, CURT, CUTE, LURE, LUTE, RULE, TRUE, CRUEL, TRUCE, ULCER, CUTLER, CULTURE",CULTURE
Myanmar,1188,"ERR, GIN, HEN, HER, RIG, GRIN, HEIR, HIRE, NIGH, REIN, RING, HINGE, NEIGH, REIGN, ERRING, RINGER, HERRING",HERRING
Myanmar,1189,"EVE, ICE, SEE, SIR, VIE, EVER, RICE, RISE, RIVE, SEER, SIRE, VEER, VICE, CRIES, SCREE, SERVE, SEVER, SIEVE, VERSE, REVISE, SERVICE",SERVICE
Myanmar,1190,"EEL, EVE, LIE, VIE, EVER, EVIL, LEER, LIVE, REEL, RILE, RIVE, VEER, VEIL, VILE, EERIE, LEVEE, LEVER, LIVER, REVEL, RELIVE, REVILE, RELIEVE",RELIEVE
Sweden,1191,"EVE, ICE, TEE, TIE, VIE, CEDE, CITE, DICE, DIET, DIVE, EDIT, ICED, TIDE, TIED, VICE, VIED, CITED, EDICT, EVICT, DECEIT, DEVICE, EVICTED",EVICTED
Sweden,1192,"ICE, LET, LIE, LIT, TIE, CITE, LICE, LITE, RICE, RILE, RITE, TIER, TILE, TIRE, RELIC, TILER, TRICE, CIRCLE, CLERIC, RELICT, CIRCLET",CIRCLET
Sweden,1193,"CON, COT, EON, NET, NOT, ONE, TEN, TOE, TON, TOT, CENT, CONE, COTE, NEXT, NOTE, ONCE, OXEN, TENT, TEXT, TONE, TOTE, CENTO, OCTET, CONTEXT",CONTEXT
Sweden,1194,"CRY, NET, PEN, PER, PET, PRY, RYE, TEN, TRY, YET, CENT, PENT, PERT, PREY, PYRE, RENT, TERN, TYPE, CREPT, CRYPT, ENTRY, ENCRYPT",ENCRYPT
Sweden,1195,"BET, BUS, BUT, CUB, CUE, CUT, JET, JUT, SET, SUE, TUB, USE, BEST, BUST, CUBE, CUTE, JEST, JUST, JUTE, SECT, STUB, TUBE, SUBJECT",SUBJECT
Sweden,1196,"CON, CUE, CUR, EON, NOR, ONE, ORE, OUR, RUE, RUN, CONE, CORE, CORN, COVE, CURE, ONCE, OVEN, OVER, ROVE, RUNE, COVER, CRONE, CURVE, OUNCE, UNCOVER",UNCOVER
Sweden,1197,"ITS, NET, SEE, SET, SIN, SIT, SIX, TEE, TEN, TIE, TIN, EXIT, NEST, NEXT, SEEN, SENT, SITE, TEEN, TIES, EXIST, INSET, TEENS, TENSE, SIXTEEN",SIXTEEN
Sweden,1198,"COP, COT, CUP, CUR, CUT, OUR, OUT, POT, PRO, PUT, ROT, RUT, TOP, COUP, CROP, CURT, PORT, POUR, POUT, PURR, ROUT, TOUR, COURT, CORRUPT",CORRUPT
Sweden,1199,"AID, ANT, DIN, ITS, SAD, SAT, SIN, SIT, TAN, TAT, TIN, ANTI, DAIS, SAID, SAND, TINT, SAINT, SATIN, STAIN, STAND, STINT, TAINT, TITAN, DISTANT",DISTANT
Sweden,1200,"AGE, AGO, AXE, EGO, EON, HEN, HEX, HOE, HOG, NAG, ONE, AEON, GONE, HANG, HOAX, HONE, OXEN, HEXAGON",HEXAGON
Sweden,1201,"ACE, ACT, ANT, ATE, CAN, CAT, EAT, NET, TAN, TEA, TEE, TEN, ACNE, ANTE, CANE, CANT, CENT, NEAT, TEEN, EATEN, ENACT, CANTEEN",CANTEEN
Sweden,1202,"ACE, APE, CAN, CAP, KEN, NAP, PAN, PEA, PEN, ACNE, CAKE, CANE, CAPE, NAPE, NECK, PACE, PACK, PANE, PEAK, PECK, APACE, PECAN, PANCAKE",PANCAKE
Sweden,1203,"HIM, HIP, HIT, HUM, HUT, IMP, PIT, PUT, RIM, RIP, RUM, RUT, TIP, HUMP, HURT, PITH, PRIM, RUMP, TRIM, TRIP, MIRTH, THRUM, THUMP, TRUMP, TRIUMPH",TRIUMPH
Sweden,1204,"DEN, DUE, DUN, END, PEN, PUN, SUE, SUN, SUP, USE, DUNE, DUPE, NESS, NUDE, PENS, SEND, SPED, SPUD, SPUN, SUED, USED, SPEND, SUSPEND",SUSPEND
Sweden,1205,"AGO, BAG, BOA, BOG, CAB, COB, COG, GAB, GOB, LAB, LAG, LOB, LOG, OAK, BACK, CLOG, COAL, GOAL, LACK, LOCK, BLACK, BLOCK, CLOAK, BACKLOG",BACKLOG
Sweden,1206,"BID, BIG, BIN, BUD, BUG, BUN, DIB, DID, DIG, DIN, DUB, DUG, DUN, GIN, GNU, GUN, NIB, NUB, BIND, BUND, BUNG, UNDID, BUDDING",BUDDING
Sweden,1207,"EEL, ILL, LIE, LIP, PIE, SEE, SIP, ELSE, ISLE, LISP, PEEL, PILE, PILL, SEEP, SELL, SILL, SLIP, PILES, SLEEP, SPELL, SPILE, SPILL, ELLIPSE",ELLIPSE
Sweden,1208,"CRY, CUE, CUT, NET, NUT, RUE, RUN, RUT, RYE, TEN, TRY, YET, CENT, CURE, CURT, CUTE, RENT, RUNE, TRUE, TUNE, TURN, ENTRY, TRUCE, TUNER, CENTURY",CENTURY
Sweden,1209,"AID, AIM, DAM, DIM, DIN, INK, INN, KID, KIN, MAD, MAN, MID, AKIN, AMID, DANK, DINK, KIND, MAID, MAIN, MIND, MINK, MANKIND",MANKIND
Sweden,1210,"GOT, LIT, LOG, LOT, OIL, RIG, ROT, TOY, TRY, GILT, GIRL, GIRT, GORY, GRIT, OILY, RIOT, TOIL, TRIO, YOGI, GLORY, TRILOGY",TRILOGY
Sweden,1211,"ANT, BAN, BAT, BIN, BIT, HAT, HIT, NAB, NIB, NIT, TAB, TAN, TIN, ANTI, BAIT, BATH, HINT, THAN, THIN, HABIT, TIBIA, INHABIT",INHABIT
Sweden,1212,"COB, ELK, LOB, ORE, ROB, BOLE, BORE, COKE, CORE, CORK, LOBE, LOCK, LORE, ROBE, ROCK, ROLE, BLOCK, BROKE, CLERK, LOCKER, BLOCKER",BLOCKER
Sweden,1213,"COG, CON, GIN, ION, NOR, RIG, SIC, SIN, SIR, SON, COIN, COIR, CORN, GRIN, ICON, IRON, RING, SIGN, SING, SONG, SCION, SCORN, SCORING",SCORING
Sweden,1214,"BED, BID, DIM, ELM, ICE, LED, LID, LIE, MID, BILE, BLED, DICE, ICED, IDLE, LICE, LIED, LIMB, LIME, MICE, MILD, MILE, CLIMB, MEDIC, CLIMBED",CLIMBED
Sweden,1215,"AIL, ALP, APT, GAP, LAG, LAP, LIP, LIT, PAL, PAT, PIG, PIT, TAG, TAP, TIP, GAIT, GILT, PAIL, PLAT, TAIL, PLAIT, PIGTAIL",PIGTAIL
Sweden,1216,"EGO, ERR, FOE, FOG, FOR, FRY, ORE, RYE, ERGO, FORE, FROG, GOER, GORE, GORY, GREY, OGRE, YORE, FERRY, FOGEY, FORGE, FOYER, FORGER, FORGERY",FORGERY
Sweden,1217,"NOR, NOT, NUT, OUR, OUT, ROT, RUN, RUT, TON, TOT, TUN, ROUT, RUNT, TORN, TORT, TOUR, TOUT, TROT, TURN, UNTO, TROUT, TUTOR, OUTRUN, TURNOUT",TURNOUT
Sweden,1218,"AGE, ARE, EAR, ERA, EVE, GAR, RAG, AREA, AVER, EVER, GAVE, GEAR, RAGE, RAVE, VEER, AGREE, EAGER, GRAVE, VERGE, RAVAGE, AVERAGE",AVERAGE
Sweden,1219,"ALE, ATE, AYE, EAT, HAT, HAY, HEY, LAY, LET, TEA, YET, HALE, HALT, HATE, HEAL, HEAT, LATE, TALE, TEAL, THEY, HEATH, LATHE, HEALTH, HEALTHY",HEALTHY
Sweden,1220,"EGO, EON, GIN, INN, ION, NIP, ONE, PEG, PEN, PIE, PIG, PIN, POI, GONE, NINE, NONE, NOPE, OPEN, PINE, PING, PIGEON, OPENING",OPENING
Sweden,1221,"DRY, LOW, OLD, OWL, ROD, ROW, WRY, DOLL, DORY, LORD, ROLL, WOLD, WORD, DOWRY, DROLL, LOWLY, ROWDY, WORDY, WORLD, LORDLY, WORLDLY",WORLDLY
Sweden,1222,"DIP, PER, PIE, PRE, RED, RID, RIP, DEEP, DEER, DIRE, DRIP, PEER, PIER, REED, RIDE, RIPE, PRIDE, PRIED, EXPIRE, EXPIRED",EXPIRED
Sweden,1223,"COP, COT, ORE, PER, PET, POT, PRO, ROT, TOE, TOP, TOT, COPE, CORE, CROP, POET, PORE, PORT, ROPE, ROTE, TORE, TROT, CREPT, OTTER, POTTER, PROTECT",PROTECT
Sweden,1224,"DIP, ICE, LED, LID, LIE, LIP, PIE, PIP, CLIP, DICE, EPIC, ICED, IDLE, LICE, LIED, PILE, PIPE, PLED, PILED, PIPED, PLIED, LIPPED, CLIPPED",CLIPPED
Sweden,1225,"CRY, CUE, CUR, LYE, RUE, RYE, CELL, CLUE, CULL, CURE, CURL, LURE, LYRE, RELY, RULE, YELL, CRUEL, CURLY, ULCER, CRUELLY",CRUELLY
Sweden,1226,"CON, EON, FEE, FOE, FOR, NOR, ONE, ORE, CONE, CORE, CORN, FERN, FORE, FREE, ONCE, REEF, CRONE, FENCE, FORCE, CONFER, ENCORE, ENFORCE",ENFORCE
Sweden,1227,"ALE, ARE, EAR, ERA, FAR, FUR, RUE, EARL, FARE, FEAR, FLEA, FLUE, FUEL, LEAF, LURE, REAL, RUFF, RULE, FERAL, FLARE, RAFFLE, RUFFLE, FEARFUL",FEARFUL
Sweden,1228,"CUE, EEL, RUE, SEE, SUE, USE, CLUE, CURE, CURL, ELSE, LEER, LURE, REEL, RULE, RUSE, SEER, SLUR, SURE, USER, CRUEL, CURSE, ULCER, RESCUE, SECURE, RECLUSE",RECLUSE
Sweden,1229,"DIG, DYE, FED, FIG, FIT, GET, TIE, YET, DEFT, DEFY, DIET, EDGY, EDIT, GIFT, TIDE, TIDY, TIED, DEITY, FETID, FIDGET, GIFTED, FIDGETY",FIDGETY
Sweden,1230,"ANT, ATE, EAT, NET, NUT, TAN, TEA, TEN, TIE, TIN, ANTE, ANTI, AUNT, NEAT, QUIT, TUNA, TUNE, UNIT, QUIET, QUITE, UNITE, UNTIE, AUNTIE, QUAINT, ANTIQUE",ANTIQUE
New Zealand,1231,"GIN, LEG, LIE, NIL, SIN, GLEN, ISLE, LENS, LESS, LIEN, LINE, LING, NESS, SIGN, SING, INGLE, SINGE, SLING, SINGLE, SINGLES",SINGLES
New Zealand,1232,"CUD, CUE, CUR, DUE, RED, RUE, CEDE, CRUD, CURD, CURE, DEED, DEER, DUDE, REED, RUDE, CEDED, CREED, CRUDE, CURED, DEUCE, UDDER, DEDUCE, REDUCE, REDUCED",REDUCED
New Zealand,1233,"BED, BEG, BID, BIG, DID, DIG, RED, RIB, RID, RIG, BIRD, BRED, BRIG, DIRE, GRID, RIDE, BRIDE, DRIED, RIDGE, BIDDER, BRIDGE, RIDGED, BRIDGED",BRIDGED
New Zealand,1234,"AIL, FAN, FIG, FIN, GIN, LAG, NAG, NIL, FAIL, FAIN, FANG, FLAG, GAIN, LAIN, LING, NAIL, ALIGN, FINAL, FLING, AILING, FILING, FINIAL, FAILING",FAILING
New Zealand,1235,"ELM, HEM, HIM, HIS, LIE, SHE, FILE, FILM, FISH, HELM, ISLE, LIFE, LIME, MESH, MILE, SELF, SLIM, FLESH, FLIES, SHELF, SLIME, SMILE, HIMSELF",HIMSELF
New Zealand,1236,"GIN, HEN, HIS, LEG, LIE, NIL, SHE, SIN, GLEN, ISLE, LENS, LINE, NIGH, SHIN, SIGH, SIGN, SING, HINGE, SHINE, SLING, SINGLE, ENGLISH, SHINGLE",ENGLISH
New Zealand,1237,"ICE, LIE, LIP, PER, PIE, PIP, PRE, RIP, CLIP, EPIC, LICE, PIER, PILE, PIPE, RICE, RILE, RIPE, PERIL, PIPER, PRICE, RELIC, RIPPLE, CLIPPER, CRIPPLE",CLIPPER
New Zealand,1238,"ALL, ANT, ILL, SAT, LAIN, LAST, LILT, LIST, NAIL, SAIL, SALT, SILL, SILT, SLIT, TAIL, TALL, TILL, SAINT, SATIN, SLANT, SNAIL, STAIN, STALL, STILL, INSTALL",INSTALL
New Zealand,1239,"CON, COT, EON, NET, NOT, ONE, TEN, TOE, TON, TOT, CENT, CONE, COTE, NONE, NOTE, ONCE, TENT, TONE, TOTE, CENTO, OCTET, CONTENT",CONTENT
New Zealand,1240,"BED, BET, BUB, BUD, BUS, BUT, DUB, DUE, EBB, SET, SUE, TUB, USE, BEST, BUST, DEBT, DUET, DUST, STUB, STUD, SUED, TUBE, USED, DEBUT, STUBBED",STUBBED
New Zealand,1241,"CON, CUE, EMU, MEN, ONE, SON, SUE, SUM, SUN, USE, COME, CONE, MENU, MUSE, NOSE, OMEN, ONCE, ONES, ONUS, SCUM, SOME, COMES, MOUSE, OUNCE, SCONE, CONSUME",CONSUME
New Zealand,1242,"CUE, CUR, HER, HOE, HUE, ORE, OUR, RUE, CORE, COVE, CURE, ECHO, HERO, HOUR, HOVE, OUCH, OVER, ROVE, CHORE, COVER, CURVE, HOVER, VOUCH, VOUCHER",VOUCHER
New Zealand,1243,"ALE, ARE, EAR, EEL, ERA, ERR, RAN, EARL, EARN, ELAN, LANE, LEAN, LEER, NEAR, RARE, REAL, REAR, REEL, LEARN, RENAL, LEARNER",LEARNER
New Zealand,1244,"CON, DEN, DON, END, EON, MEN, NOD, ODE, ONE, CODE, COME, CONE, DOME, DONE, MEND, MODE, NODE, OMEN, ONCE, DEMON, COMMEND",COMMEND
New Zealand,1245,"EWE, NET, NEW, SEE, SET, SEW, TEE, TEN, WEE, WET, NEST, NEWS, NEWT, SEEN, SENT, SEWN, STEW, TEEN, WENT, WEST, SWEET, TEENS, TENSE, SWEETEN",SWEETEN
New Zealand,1246,"AGE, ALE, ALL, GAS, LAG, LEG, LUG, SAG, SEA, SUE, USE, GALE, GALL, GLUE, GULL, SAGE, SALE, SEAL, SELL, SLAG, SLUG, LEGAL, USAGE, SEAGULL",SEAGULL
New Zealand,1247,"DOT, LOT, LOW, OLD, OWL, TOO, TOW, TWO, WOO, FLOW, FOLD, FOOD, FOOL, FOOT, FOWL, LOFT, LOOT, TOLD, TOOL, WOLD, WOLF, WOOD, WOOF, WOOL, FLOOD, TWOFOLD",TWOFOLD
New Zealand,1248,"ALP, APT, ASH, HAS, HAT, LAP, PAL, PAT, SAT, SPA, TAP, ALAS, HALT, LASH, LAST, PAST, PATH, SALT, SLAP, SPAT, ALPHA, ATLAS, PASHA, PATHS, SHALT, ASPHALT",ASPHALT
New Zealand,1249,"ALE, ALL, BOA, LAB, LOB, OVA, ABLE, ALOE, BALE, BALL, BELL, BOLE, LOBE, LOVE, OVAL, VALE, VEAL, ABOVE, LABEL, LOVABLE",LOVABLE
New Zealand,1250,"LET, LOP, LOT, OUT, PET, POT, PUT, TOE, TOP, LOPE, LOUT, LUTE, PELT, PLOT, POET, POLE, POLL, POUT, PULL, TELL, TOLL, PLUTO, TULLE, POLLUTE",POLLUTE
New Zealand,1251,"AGE, ALE, ASS, EEL, GAS, LAG, LEG, SAG, SEA, SEE, EASE, ELSE, GALE, GLEE, LASS, LESS, SAGE, SALE, SEAL, SLAG, EAGLE, EASEL, GASES, GLASS, LEASE, AGELESS",AGELESS
New Zealand,1252,"DOT, ITS, RID, ROD, ROT, SIR, SIT, SOD, TOT, DIRT, RIOT, SORT, STIR, TORT, TRIO, TROD, TROT, DITTO, DROIT, DISTORT",DISTORT
New Zealand,1253,"AIM, AIR, ARM, IMP, MAP, MAR, MAY, PAR, PAY, PRY, RAM, RAP, RAY, RIM, RIP, AIRY, ARMY, PAIR, PRAM, PRAY, PRIM, RAMP, MARRY, PARRY, PRIMARY",PRIMARY
New Zealand,1254,"ALE, ATE, EAT, FAT, LET, TEA, FATE, FEAT, FELT, FLAT, FLEA, FLUE, FUEL, LATE, LEAF, LEFT, LUTE, TALE, TEAL, TUFF, FAULT, FETAL, FLUTE, FATEFUL",FATEFUL
New Zealand,1255,"ALP, LAP, LOP, PAL, PAR, PRO, RAP, SOP, SPA, ALAS, ALSO, OPAL, ORAL, RASP, SLAP, SLOP, SOAP, SOAR, SPAR, PAROL, POLAR, SOLAR, PARASOL",PARASOL
New Zealand,1256,"AIL, ALE, ATE, EAT, LET, LIE, LIT, TEA, TIE, LATE, LIEU, LITE, LUTE, QUIT, TAIL, TALE, TEAL, TILE, EQUAL, QUAIL, QUIET, QUILT, QUITE, TEQUILA",TEQUILA
New Zealand,1257,"ACT, ARC, ART, CAR, CAT, CUD, CUT, RAT, RUT, SAD, SAT, TAR, CARD, CART, CAST, CURD, CURT, DART, DUCT, DUST, RUST, SCAR, STAR, STUD, CRUST, CUSTARD",CUSTARD
New Zealand,1258,"BUM, BUS, ELM, EMU, LIE, SUE, SUM, USE, BILE, BLUE, ISLE, LIEU, LIMB, LIME, MILE, MULE, MUSE, SLIM, SLUM, IMBUE, SLIME, SMILE, SUBLIME",SUBLIME
New Zealand,1259,"AGE, ALE, AYE, GUY, LAG, LAY, LEG, LUG, LYE, GALE, GAVE, GLUE, LEVY, UGLY, VALE, VEAL, GAVEL, VAGUE, VALUE, VAGUELY",VAGUELY
New Zealand,1260,"AGO, AIR, GAR, GIN, ION, NAG, NOR, RAG, RAN, RIG, GAIN, GRIN, IRON, RAIN, RANG, RING, ROAN, ROAR, GRAIN, GROAN, ORGAN, RIGOR, ROARING",ROARING
New Zealand,1261,"ACT, ANT, CAN, CAT, CON, COT, CUT, NOT, NUT, OAT, OUT, TAN, TON, TUN, AUNT, AUTO, CANT, COAT, TUNA, UNTO, CANTO, COUNT, TOUCAN, ACCOUNT",ACCOUNT
New Zealand,1262,"DUE, HER, HUE, RED, RUE, SHE, SUE, USE, DUDE, DUDS, HERD, RUDE, RUSE, RUSH, SHED, SUED, SURE, USED, USER, SHERD, SHRED, UDDER, USHER, RUSHED, SHUDDER",SHUDDER
New Zealand,1263,"CON, COO, COT, LOT, NOR, NOT, ROT, TON, TOO, CLOT, COLT, COOL, CORN, LOON, LOOT, ROOT, TOOL, TOON, TORN, COLON, COLOR, CROON, CONTROL",CONTROL
New Zealand,1264,"BAG, BAN, BIG, BIN, CAB, CAN, GAB, GIN, INK, KIN, NAB, NAG, NIB, AKIN, BACK, BANG, BANK, GAIN, KING, CABIN, BAKING, BACKING",BACKING
New Zealand,1265,"ITS, SET, SIR, SIT, TIE, VIE, IRIS, REST, RISE, RITE, RIVE, SIRE, SITE, STIR, TIER, TIES, TIRE, VEST, IVIES, RIVET, TRIES, VISIT, STRIVE, REVISIT",REVISIT
New Zealand,1266,"ANY, DAY, DRY, DUN, LAD, LAY, NAY, RAN, RAY, RUN, DARN, DRAY, DUAL, DULY, LADY, LAND, LARD, LAUD, RAND, YARD, YARN, LUNAR, LAUNDRY",LAUNDRY
New Zealand,1267,"AGE, DAM, GAS, GEM, MAD, SAD, SAG, SEA, AGED, DAME, GAME, GEMS, MADE, MAGE, MEAD, MESA, SAGA, SAGE, SAME, SEAM, ADAGE, DAMAGE, DAMAGES",DAMAGES
New Zealand,1268,"BOY, BYE, ORE, ROB, RYE, SLY, SOB, SOY, YES, BORE, LOBE, LORE, LOSE, OBEY, RELY, ROBE, ROLE, ROSE, ROSY, SOLE, SORE, BERYL, LOSER, SOBER, SORELY, SOBERLY",SOBERLY
New Zealand,1269,"BYE, FIB, FLY, FRY, LIE, LYE, RIB, RYE, BILE, FILE, FIRE, LIFE, LYRE, RELY, RIFE, RILE, BERYL, BRIEF, FIERY, FLIER, RIFLE, BELFRY, BRIEFLY",BRIEFLY
New Zealand,1270,"AGE, ALE, EGG, FAD, FED, GAG, LAD, LAG, LED, LEG, AGED, DEAF, DEAL, FADE, FLAG, FLEA, FLED, GAGE, GALE, GLAD, LEAD, LEAF, GLADE, LAGGED, FLAGGED",FLAGGED
Denmark,1271,"ACT, ARC, ART, CAR, CAT, COT, OAT, RAT, ROT, TAR, TAT, TOT, CART, COAT, ROAR, TACT, TARO, TART, TORT, TROT, ACTOR, TAROT, TRACT, CARROT, TRACTOR",TRACTOR
Denmark,1272,"HOP, HOT, POT, SOP, TOO, TOP, TOT, HOOP, HOOT, HOST, POST, SHOO, SHOP, SHOT, SOOT, SPOT, STOP, TOOT, PHOTO, SHOOT, STOOP, TOOTH, PHOTOS, HOTSPOT",HOTSPOT
Denmark,1273,"COP, COT, CUP, CUT, LOT, OUT, POT, PUT, TOP, CLOT, COLT, COUP, CULT, LOCK, LOUT, LUCK, PLOT, POUT, PUCK, TUCK, CLOUT, PLUCK, POTLUCK",POTLUCK
Denmark,1274,"BED, BEE, DEN, EEL, END, LED, RED, BEEN, BEER, BEND, BLED, BRED, DEER, LEER, LEND, NEED, REED, REEL, BLEED, BLEND, BREED, ELDER, REBEL, BENDER, LENDER, BLENDER",BLENDER
Denmark,1275,"GIG, GIN, ION, LOG, LOW, NIL, NOW, OIL, OWL, OWN, WIG, WIN, WON, GLOW, GONG, GOWN, LING, LION, LONG, WING, GOING, OWING, LOWING, OGLING, GLOWING",GLOWING
Denmark,1276,"EEL, ICE, LIE, LIP, PIE, SEE, SIP, CLIP, ELSE, EPIC, ISLE, LICE, LISP, PEEL, PILE, SEEP, SLIP, PIECE, PILES, SLEEP, SLICE, SPICE, SPILE, SPECIE, SPLICE, ECLIPSE",ECLIPSE
Denmark,1277,"EEL, FED, FEE, LED, LET, TEE, CEDE, CLEF, DEFT, FEED, FEEL, FEET, FELT, FETE, FLED, FLEE, LEFT, CLEFT, DELFT, ELECT, FETED, FLEET, DEFECT, FELTED, DEFLECT",DEFLECT
Denmark,1278,"AID, BAD, BAG, BAN, BID, BIG, BIN, DAB, DIB, DIG, DIN, GAB, GIN, NAB, NAG, NIB, BAND, BANG, BIND, GAIN, AIDING, BIDING, ABIDING",ABIDING
Denmark,1279,"ARC, BAR, BOA, BOW, CAB, CAR, CAW, COB, COW, RAW, ROB, ROW, WAR, BOAR, BROW, CRAB, CRAW, CROW, ROAR, ARBOR, ARROW, COBRA, BARROW, CROWBAR",CROWBAR
Denmark,1280,"ACT, AIL, ALP, APT, CAP, CAT, LAP, LIP, LIT, PAL, PAT, PIT, TAP, TIP, CLAP, CLIP, PACT, PAIL, PLAT, TAIL, TALC, PLAIT, APICAL, CAPITA, CAPITAL",CAPITAL
Denmark,1281,"ASH, GAS, GIN, HAS, HIS, NAG, SAG, SIN, VAN, VIA, GAIN, GASH, HANG, NIGH, SANG, SHIN, SIGH, SIGN, SING, SNAG, VAIN, VISA, HAVING, SAVING, VANISH, SHAVING",SHAVING
Denmark,1282,"AIL, ALL, CAN, GIN, ILL, LAG, NAG, NIL, CALL, CLAN, GAIN, GALL, GILL, LAIN, LING, NAIL, ALIGN, CLANG, CLING, LILAC, LACING, CALLING",CALLING
Denmark,1283,"DEN, EEL, END, LED, SEE, ELSE, LEND, LENS, LESS, NEED, NESS, SEED, SEEN, SEND, SLED, DENSE, LENDS, NEEDS, SEEDS, SENSE, LENSES, LESSEN, SENSED, ENDLESS",ENDLESS
Denmark,1284,"ADO, ANY, AYE, DAY, DEN, DON, DYE, END, EON, NAY, NOD, ODE, ONE, YEN, AEON, DEAN, DENY, DONE, NODE, NONE, ANNOY, ANODE, ANYONE, ANNOYED, ANODYNE",ANNOYED
Denmark,1285,"EGO, FIG, FOE, FOG, FOR, ORE, RIG, VIE, ERGO, FIRE, FIVE, FORE, FROG, GIVE, GOER, GORE, OGRE, OVER, RIFE, RIVE, ROVE, FORGE, GIVER, GRIEF, GROVE, FORGIVE",FORGIVE
Denmark,1286,"PAR, PAW, PRO, RAP, RAW, ROW, SAW, SOP, SOW, SPA, WAR, WAS, PROW, RASP, ROAR, SOAP, SOAR, SPAR, SWAP, WARP, WASP, WRAP, ARROW, SPARROW",SPARROW
Denmark,1287,"CON, COP, COT, EON, NET, NOT, ONE, PEN, PET, POT, TEN, TOE, TON, TOP, CENT, CONE, COPE, COTE, NOPE, NOTE, ONCE, OPEN, PENT, POET, TONE, CENTO, CONCEPT",CONCEPT
